Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,2nd_Road_Number,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,DateVals,TimeVals
200701FH10331,525650,176710,-0.192146,51.475352,3,2,1,2,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,2,E01001924,863,599
200701FH10332,524210,176470,-0.212954,51.473513,3,2,1,7,11,E09000013,3,219,3,30,3,0,0,4,2,2,1,1,E01001915,910,12
200701FH10333,524330,176260,-0.211301,51.471599,2,1,1,2,11,E09000013,3,219,6,30,3,304,1,1,1,1,1,1,E01001915,912,772
200701FH10334,523920,176950,-0.216959,51.47789,3,2,1,3,11,E09000013,3,219,6,30,3,0,0,1,2,2,1,2,E01001918,913,1114
200701FH10336,523860,178200,-0.217385,51.489137,3,1,1,6,11,E09000013,6,0,6,30,0,0,0,1,1,1,1,1,E01001889,909,1184
200701FH10337,523420,178400,-0.223649,51.491031,3,2,1,5,11,E09000013,3,219,6,30,3,219,5,1,1,1,1,2,E01001900,915,809
200701FH10338,523460,179780,-0.222591,51.503425,3,1,1,4,11,E09000013,3,402,6,30,0,0,4,1,1,1,1,1,E01001857,921,1014
200701FH10339,523630,179660,-0.220185,51.502309,3,2,1,5,11,E09000013,6,0,6,30,6,0,0,1,1,1,1,1,E01001854,922,684
200701FH10340,526290,176880,-0.182875,51.476737,2,2,1,2,11,E09000013,6,0,1,30,2,0,0,1,1,1,1,2,E01001939,912,554
200701FH10341,523940,177540,-0.216465,51.483188,2,2,1,2,11,E09000013,3,3218,6,30,3,0,0,1,1,1,1,1,E01001886,919,789
